Protected Attribute,Group,Support,Precision,Recall,FPR,FNR,Selection Rate,Demographic Parity Difference,Equal Opportunity Difference
Gender,Female,428,0.9811,0.7536,0.0028,0.2464,0.1238,,
Gender,Male,698,1.0,0.8264,0.0,0.1736,0.1433,,
MaritalStatus,Divorced,182,1.0,0.6774,0.0,0.3226,0.1154,,
MaritalStatus,Married,575,0.9783,0.7627,0.0019,0.2373,0.08,,
MaritalStatus,Single,369,1.0,0.86,0.0,0.14,0.2331,,
Gender,Overall disparity,1126,,,,,,0.0194,0.0728
MaritalStatus,Overall disparity,1126,,,,,,0.1531,0.1826
