cluster,count,churn_rate,avg_churn_prob,Tenure_mean,CityTier_mean,WarehouseToHome_mean,HourSpendOnApp_mean,NumberOfDeviceRegistered_mean,SatisfactionScore_mean,NumberOfAddress_mean,Complain_mean,OrderAmountHikeFromlastYear_mean,CouponUsed_mean,OrderCount_mean,DaySinceLastOrder_mean,CashbackAmount_mean,rfm_total_mean,device_per_tenure_mean,cashback_per_order_mean,inactivity_ratio_mean,churn_rate_pct,persona,persona_emoji,strategy,action_high,action_medium
0,293,0.13,0.12,14.9,1.79,15.03,3.05,3.92,3.16,4.65,0.29,15.91,3.12,6.31,7.05,236.63,12.0,0.42,76.0,0.67,13.0,VIP Ổn định,🟢,🟢 Loyal: VIP perks + Cross-sell / Up-sell,"🎁 VIP Care: Liên hệ cá nhân, tặng quà tri ân",⭐ Đề xuất nâng cấp gói hội viên (Up-sell)
1,281,0.13,0.12,8.64,1.69,16.34,3.21,3.86,2.99,4.47,0.3,15.86,2.07,3.3,5.15,167.17,9.28,0.83,46.64,0.96,13.0,Đô thị Trung thành,🔵,🔵 Moderate: Freeship định kỳ + Flash sale,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng,💳 Gửi mã Freeship định kỳ
2,269,0.15,0.14,8.74,1.52,14.05,2.84,3.51,2.98,3.95,0.26,15.4,1.03,1.85,4.96,155.07,6.84,1.06,63.25,1.35,15.0,Đô thị Trung thành,🔵,🔵 Moderate: Freeship định kỳ + Flash sale,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng,💳 Gửi mã Freeship định kỳ
3,283,0.27,0.27,7.9,1.44,15.85,2.54,3.33,3.12,4.03,0.36,15.54,0.8,1.51,1.42,144.18,7.63,1.53,64.87,0.71,27.0,Đô thị Trung thành,🔵,🔵 Moderate: Freeship định kỳ + Flash sale,⚠️ Risk Alert: Gửi email thăm dò mức độ hài lòng,💳 Gửi mã Freeship định kỳ
