covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Complain,0.7592248478649447,2.1366193733564227,0.05920705430203528,0.6431811538022483,0.8752685419276411,1.9025234827947801,2.39951957906762,0.0,12.823216030844586,1.2155218438067221e-37,122.62976369095942
NumberOfDeviceRegistered,0.22079844688545622,1.2470720539755094,0.029515820284133513,0.16294850215439774,0.27864839161651467,1.1769760763954935,1.3213426670230068,0.0,7.480681368836913,7.393824874512012e-14,43.620672455261065
SatisfactionScore,0.11378752794117604,1.1205140216687834,0.02055042858141299,0.07350942805474403,0.15406562782760805,1.0762786838384086,1.1665674435533633,0.0,5.536990505594231,3.077132255507921e-08,24.953838306891544
CashbackAmount,-0.006286600718443655,0.9937331186116954,0.000714372343073402,-0.007686744782419015,-0.0048864566544682955,0.9923427226889392,0.9951254626525543,0.0,-8.800173718088223,1.3660452683032424e-18,59.344700415212394
OrderCount,-0.003656902818111103,0.9963497755078562,0.011420947831322904,-0.02604154923681483,0.018727743600592622,0.9742946075703789,1.0189042076606651,0.0,-0.32019258577486376,0.7488223432775678,0.4173046123500803
CouponUsed,-0.0018524275918691273,0.9981492870931824,0.017352836043060038,-0.035863361265895344,0.03215850608215709,0.9647721097170875,1.0326811785809051,0.0,-0.10675071136916396,0.9149867505705009,0.12817724222798105
HourSpendOnApp,-0.007873479441580606,0.992157435209182,0.04068045533253631,-0.08760570676804216,0.07185874788488095,0.9161220262338344,1.0745035574437833,0.0,-0.19354452592086357,0.8465325385704586,0.24036257215092602
